"stockid","stocklong","country","region","lme_name","areaid","area","species","comm_name","msy_source","msy_code","msy_units","msy","year","uumsy","uumsy_source","uumsy_notes"
"PCOD5AB","Pacific cod Queen Charlotte Sound","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-5AB","Queen Charlotte Sound","Gadus macrocephalus","Pacific cod","Assessment","MSY-MT","MT",763.3,2012,0.84524209184191,"Uses converted reference point","ERdivERmsy-conv-dimensionless"
"PCODAI","Pacific cod Aleutian Islands","USA","US Alaska",NA,"USA-NMFS-AI","Aleutian Islands","Gadus macrocephalus","Pacific cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",25564.66847,2014,0.520140952310081,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"PCODBS","Pacific cod Bering Sea","USA","US Alaska",NA,"USA-NMFS-BS","Bering Sea","Gadus macrocephalus","Pacific cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",184978.517,2014,1.0096214467837,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"PCODGA","Pacific cod Gulf of Alaska","USA","US Alaska","Gulf of Alaska","USA-NMFS-GA","Gulf of Alaska","Gadus macrocephalus","Pacific cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",66403.74235,2010,0.549275362318841,"Assessment","FdivFmsy-calc-dimensionless"
"PCODHS","Pacific cod Hecate Strait","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-HS","Hecate Strait","Gadus macrocephalus","Pacific cod","Assessment","MSY-MT","MT",3313.1,2003,0.218926553672316,"Assessment","FdivFmsy-calc-dimensionless"
"PCODNPAC","Pacific cod North Pacific","Japan","Japan",NA,"Japan-FAJ-NPAC","North Pacific","Gadus macrocephalus","Pacific cod","Calculated from other assessment values (ie Bmsy from MSY and Umsy)","MSY-calc-MT","MT",188097.77,2013,0.751452230873814,"Assessment","ERdivERmsy-calc-dimensionless"
"PCODWCVANI","Pacific cod West Coast of Vancouver Island","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-WCVANI","West Coast of Vancouver Island","Gadus macrocephalus","Pacific cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1714.713486,2001,0.469026548672566,"Assessment","FdivFmsy-calc-dimensionless"
"PERCHEBSAI","Pacific ocean perch Eastern Bering Sea and Aleutian Islands","USA","US Alaska","East Bering Sea","USA-NMFS-EBSAI","Eastern Bering Sea and Aleutian Islands","Sebastes alutus","Pacific ocean perch","Estimated from Fox or Schaefer model","MSY-est-MT","MT",15390.8486,2010,0.344594594594595,"Assessment","FdivFmsy-calc-dimensionless"
"PERCHQCI","Pacific ocean perch Haida Gwaii","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-HG","Haida Gwaii","Sebastes alutus","Pacific ocean perch","Assessment","MSY-MT","MT",1488,2012,0.482,"Assessment","ERdivERmsy-dimensionless"
"PERCHWCVANI","Pacific ocean perch West Coast of Vancouver Island","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-WCVANI","West Coast of Vancouver Island","Sebastes alutus","Pacific ocean perch","Assessment","MSY-MT","MT",1048,2012,0.384,"Assessment","ERdivERmsy-dimensionless"
"PGEODWA","Pacific geoduck Washington","USA","US West Coast","Gulf of Alaska","USA-WASTATE-WA","Washington","Panopea generosa","Pacific geoduck","Estimated from Fox or Schaefer model","MSY-est-MT","MT",4956.210958,2010,0.207293745221766,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"PHAKEPCOAST","Pacific hake Pacific Coast","USA","US West Coast","California Current","USA-NMFS-PCOAST","Pacific Coast","Merluccius productus","Pacific hake","Assessment","MSY-MT","MT",406000,2015,0.201807228915663,"Assessment","ERdivERmsy-calc-dimensionless"
"PHFLOUNSOJ","Pointhead flounder Sea of Japan","Japan","Japan",NA,"Japan-FAJ-SOJ","Sea of Japan","Cleisthenes herzensteini","Pointhead flounder","Assessment","MSY-MT","MT",2961.814499,2013,1.07326922055151,"Assessment","ERdivERmsy-calc-dimensionless"
"PILCHPJPN","Japanese sardine Pacific Coast of Japan","Japan","Japan","Kuroshio Current","Japan-FAJ-PJPN","Pacific Coast of Japan","Sardinops sagax","Japanese sardine","Assessment","MSY-MT","MT",175942.4024,2013,0.740296118447379,"Assessment","ERdivERmsy-calc-dimensionless"
"PILCHTSST","Japanese sardine Tsushima Strait","Japan","Japan","East China Sea","Japan-FAJ-TSST","Tsushima Strait","Sardinops sagax","Japanese sardine","Assessment","MSY-MT","MT",53011.80649,2013,1.31715506715507,"Assessment","ERdivERmsy-calc-dimensionless"
"PINKSHRIMPGM","Pink shrimp Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","USA-NMFS-GM","Gulf of Mexico","Farfantepenaeus duorarum","Pink shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",3549.905254,2013,0.18955223880597,"Assessment","FdivFmsy-calc-dimensionless"
"PLAIC7d","European plaice Eastern English Channel","multinational","European Union","Celtic-Biscay Shelf","multinational-ICES-VIId","Eastern English Channel","Pleuronectes platessa","European plaice","Estimated from Fox or Schaefer model","MSY-est-MT","MT",4969.363769,2017,0.804,"Assessment","FdivFmsy-calc-dimensionless"
"PLAICCELT","European plaice Celtic Sea","multinational","European Union","Celtic-Biscay Shelf","multinational-ICES-VIIf-g","Celtic Sea","Pleuronectes platessa","European plaice","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1176.537968,2017,0.371,"Assessment","FdivFmsy-dimensionless"
"PLAICECHW","European plaice Western English Channel","multinational","European Union","Celtic-Biscay Shelf","multinational-ICES-VIIe","Western English Channel","Pleuronectes platessa","European plaice","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2014.532212,2013,1.14166666666667,"Assessment","FdivFmsy-calc-dimensionless"
"PLAICIS","European plaice Irish Sea","multinational","European Union","Celtic-Biscay Shelf","multinational-ICES-VIIa","Irish Sea","Pleuronectes platessa","European plaice","Estimated from Fox or Schaefer model","MSY-est-MT","MT",4879.863392,2017,0.389681700901582,"Assessment","FdivFmsy-calc-dimensionless"
"PLAICNS","European plaice North Sea","multinational","European Union","North Sea","multinational-ICES-IV","North Sea","Pleuronectes platessa","European plaice","Estimated from Fox or Schaefer model","MSY-est-MT","MT",194792.4085,2017,0.947619047619048,"Assessment","FdivFmsy-calc-dimensionless"
"POLL5YZ","Pollock Gulf of Maine / Georges Bank","USA","US East Coast","Northeast U.S. Continental Shelf","USA-NMFS-5YZ","Gulf of Maine / Georges Bank","Pollachius virens","Pollock","Assessment","MSY-MT","MT",19678,2014,0.252707581227437,"Assessment","FdivFmsy-calc-dimensionless"
"POLLFAPL","Pollock Faroe Plateau","multinational","Europe non EU","Faroe Plateau","multinational-ICES-Vb1","Faroe Plateau","Pollachius virens","Pollock","Estimated from Fox or Schaefer model","MSY-est-MT","MT",43140.49756,2017,1.36666666666667,"Assessment","FdivFmsy-calc-dimensionless"
"POLLIEG","Pollock Iceland Grounds","multinational","Europe non EU","Iceland Shelf and Sea","multinational-ICES-Va","Iceland Grounds","Pollachius virens","Pollock","Assessment","MSY-MT","MT",65000,2017,0.56,"Assessment","FdivFmgt-calc-dimensionless"
"POLLNEAR","Pollock North-East Arctic","multinational","Europe non EU","Barents Sea","multinational-ICES-I-II","North-East Arctic","Pollachius virens","Pollock","Estimated from Fox or Schaefer model","MSY-est-MT","MT",178424.3942,2017,0.809375,"Assessment","FdivFmgt-calc-dimensionless"
"POLLNS-VI-IIIa","Pollock ICES 3a-4-6","multinational","European Union","North Sea","multinational-ICES-IIIa-IV-VI","ICES 3a-4-6","Pollachius virens","Pollock","Assessment","MSY-MT","MT",200000,2017,0.741666666666667,"Assessment","FdivFmsy-calc-dimensionless"
"POPERCHGA","Pacific ocean perch Gulf of Alaska","USA","US Alaska","Gulf of Alaska","USA-NMFS-GA","Gulf of Alaska","Sebastes alutus","Pacific ocean perch","Assessment","MSY-MT","MT",20243,2010,0.511035631959438,"Assessment","ERdivERmsy-calc-dimensionless"
"POPERCHPCOAST","Pacific ocean perch Pacific Coast","USA","US West Coast","California Current","USA-NMFS-PCOAST","Pacific Coast","Sebastes alutus","Pacific ocean perch","Assessment","MSY-MT","MT",1058,2010,0.275175644028103,"Assessment","ERdivERmsy-calc-dimensionless"
"PSHRMPMEDGSA6","Deep water rose shrimp Northern Spain","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA6","Northern Spain","Parapenaeus longirostris","Deep water rose shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",139.9835851,2012,5.48148148148148,"Assessment","FdivFmgt-calc-dimensionless"
"PSOLEPCOAST","Petrale sole Pacific Coast","USA","US West Coast","California Current","USA-NMFS-PCOAST","Pacific Coast","Eopsetta jordani","Petrale sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",795.4814368,2014,0.938571428571429,"Assessment","FdivFmsy-calc-dimensionless"
"PTOOTHFISHCH","Patagonian toothfish South Chile Argentina","multinational","South America","Humboldt Current","multinational-SUBPESCA-CFP-SCH-ARG","South Chile Argentina","Dissostichus eleginoides","Patagonian toothfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",5511.542277,2014,2.12,"Assessment","FdivFmsy-dimensionless"
"PTOOTHFISHMI","Patagonian toothfish Macquarie Island","Australia","Australia","South Pacific Ocean","Australia-AFMA-MI","Macquarie Island","Dissostichus eleginoides","Patagonian toothfish","Assessment","MSY-MT","MT",184.369,2009,0.0926769153720583,"Assessment","ERdivERmsy-calc-dimensionless"
"PTOOTHFISHPEI","Patagonian toothfish South Africa Subantarctic Prince Edward Islands","South Africa","South Africa","Indian Ocean","South Africa-DETMCM-PEI","South Africa Subantarctic Prince Edward Islands","Dissostichus eleginoides","Patagonian toothfish","Assessment","MSY-MT","MT",1514.43,2013,0.00649,"Assessment","FdivFmsy-dimensionless"
"RBRMECS","Red seabream East China Sea","Japan","Japan","East China Sea","Japan-FAJ-ECS","East China Sea","Pagrus major","Red seabream","Assessment","MSY-MT","MT",11625.59874,2013,3.23943661971831,"Assessment","ERdivERmsy-calc-dimensionless"
"RBRMSETOE","Red seabream Inland Sea of Japan (East)","Japan","Japan","Kuroshio Current","Japan-FAJ-SETOE","Inland Sea of Japan (East)","Pagrus major","Red seabream","Assessment","MSY-MT","MT",3105.528673,2013,3.08034568323779,"Assessment","ERdivERmsy-calc-dimensionless"
"RBRMSETOW","Red seabream Inland Sea of Japan (West)","Japan","Japan","Kuroshio Current","Japan-FAJ-SETOW","Inland Sea of Japan (West)","Pagrus major","Red seabream","Assessment","MSY-MT","MT",4173.130057,2013,1.4752625296729,"Assessment","ERdivERmsy-calc-dimensionless"
"RDSHRMPMEDGSA1","Red shrimp Northern Alboran Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA1","Northern Alboran Sea","Aristeus antennatus","Red shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",201.9823587,2014,3.90243902439024,"Assessment","FdivFmgt-calc-dimensionless"
"RDSHRMPMEDGSA6","Red shrimp Northern Spain","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA6","Northern Spain","Aristeus antennatus","Red shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",598.4662516,2014,1.225,"Assessment","FdivFmgt-calc-dimensionless"
"REDDEEP2J3K-3LNO","Deepwater redfish NAFO Divisions 2J3K-3LNO","Canada","Canada East Coast","Labrador - Newfoundland","Canada-DFO-2J3K-3LNO","NAFO Divisions 2J3K-3LNO","Sebastes mentella","Deepwater redfish","Assessment","MSY-MT","MT",22000,2009,0.0238123834845804,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"REDDEEPI-II","Deepwater redfish North-East Arctic","multinational","Europe non EU","Barents Sea","multinational-ICES-I-II","North-East Arctic","Sebastes mentella","Deepwater redfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",86384.69324,2016,0.181581093675781,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"REDDEEPUT12","Deepwater redfish Units 1 and 2","Canada","Canada East Coast","Scotian Shelf","Canada-DFO-UT12","Units 1 and 2","Sebastes mentella","Deepwater redfish","Assessment","MSY-MT","MT",21000,2009,0.298363054077757,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"REDFEAUS","Redfish Eastern Australia","Australia","Australia",NA,"Australia-AFMA-EAUS","Eastern Australia","Centroberyx affinis","Redfish","Assessment","MSY-MT","MT",913.2456563,2016,0.302490106412877,"Assessment","FdivFmsy-calc-dimensionless"
"REDFISHSPP3LN","Redfish species N and SW Grand Banks","multinational","Canada East Coast","Labrador - Newfoundland","multinational-NAFO-3LN","N and SW Grand Banks","Sebastes spp","Redfish species","Assessment","MSY-MT","MT",24440,2013,0.214,"Assessment","FdivFmsy-dimensionless"
"REDFISHSPP3M","Redfish species Flemish Cap","multinational","Canada East Coast","Labrador - Newfoundland","multinational-NAFO-3M","Flemish Cap","Sebastes spp","Redfish species","Estimated from Fox or Schaefer model","MSY-est-MT","MT",27361.91857,2014,0.263635077132813,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"REXSOLEGA","Rex sole Gulf of Alaska","USA","US Alaska","Gulf of Alaska","USA-NMFS-GA","Gulf of Alaska","Glyptocephalus zachirus","Rex sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2687.688879,2011,0.577647058823529,"Assessment","FdivFmsy-calc-dimensionless"
"REXSOLEPCOAST","Rex sole Pacific Coast","USA","US West Coast",NA,"USA-NMFS-PCOAST","Pacific Coast","Glyptocephalus zachirus","Rex sole","Assessment","MSY-MT","MT",1646,2012,0.187142857142857,"Assessment","FdivFmsy-calc-dimensionless"
"REYEROCKBSAI","Rougheye rockfish Bering Sea and Aleutian Islands","USA","US Alaska","East Bering Sea","USA-NMFS-BSAI","Bering Sea and Aleutian Islands","Sebastes aleutianus","Rougheye rockfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1426.910169,2014,0.3,"Assessment","FdivFmsy-calc-dimensionless"
"REYEROCKGA","Rougheye rockfish Gulf of Alaska","USA","US Alaska","Gulf of Alaska","USA-NMFS-GA","Gulf of Alaska","Sebastes aleutianus","Rougheye rockfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",659.2301876,2009,0.178958333333333,"Assessment","FdivFmsy-calc-dimensionless"
"RGROUPGM","Red grouper Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","USA-NMFS-GM","Gulf of Mexico","Epinephelus morio","Red grouper","Assessment","MSY-MT","MT",6529.16,2013,0.594339622641509,"Assessment","ERdivERmsy-calc-dimensionless"
"RGROUPSATL","Red grouper South Atlantic","USA","US Southeast and Gulf","Southeast U.S. Continental Shelf","USA-NMFS-SATL","South Atlantic","Epinephelus morio","Red grouper","Assessment","MSY-MT","MT",503.49,2008,1.62015796407741,"Assessment","ERdivERmsy-calc-dimensionless"
"RHERRTSST","Round herring Tsushima Strait","Japan","Japan","Sea of Japan","Japan-FAJ-TSST","Tsushima Strait","Etrumeus sadina","Round herring","Assessment","MSY-MT","MT",43991.57093,2013,1.18260787461052,"Assessment","ERdivERmsy-calc-dimensionless"
"RKCRABBB","Red king crab Bristol Bay","USA","US Alaska","East Bering Sea","USA-NMFS-BB","Bristol Bay","Paralithodes camtschaticus","Red king crab","Assessment","MSY-MT","MT",23645.80209,2007,1.05454545454545,"Assessment","ERdivERmsy-calc-dimensionless"
"RKCRABNS","Red king crab Norton Sound","USA","US Alaska","Northern Bering - Chukchi Seas","USA-NMFS-NS","Norton Sound","Paralithodes camtschaticus","Red king crab","Estimated from Fox or Schaefer model","MSY-est-MT","MT",150.5736602,1997,0.408515223303047,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"RKCRABPI","Red king crab Pribilof Islands","USA","US Alaska","East Bering Sea","USA-NMFS-PI","Pribilof Islands","Paralithodes camtschaticus","Red king crab","Estimated from Fox or Schaefer model","MSY-est-MT","MT",653.1810113,2008,0,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"RMULLMEDGSA1","Red mullet Northern Alboran Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA1","Northern Alboran Sea","Mullus barbatus barbatus","Red mullet","Estimated from Fox or Schaefer model","MSY-est-MT","MT",181.9086313,2013,4.85185185185185,"Assessment","FdivFmgt-calc-dimensionless"
"RMULLMEDGSA11","Red mullet Sardinia","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA11","Sardinia","Mullus barbatus barbatus","Red mullet","Estimated from Fox or Schaefer model","MSY-est-MT","MT",272.2908703,2012,9.54545454545454,"Assessment","FdivFmgt-calc-dimensionless"
"RMULLMEDGSA17-18","Red mullet Adriatic Sea (GSA 17,18)","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA17-18","Adriatic Sea (GSA 17,18)","Mullus barbatus barbatus","Red mullet","Estimated from Fox or Schaefer model","MSY-est-MT","MT",6027.012658,2014,1.3219512195122,"Assessment","FdivFmgt-calc-dimensionless"
"RMULLMEDGSA19","Red mullet Western Ionian Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA19","Western Ionian Sea","Mullus barbatus barbatus","Red mullet","Estimated from Fox or Schaefer model","MSY-est-MT","MT",389.7110343,2014,2.2,"Assessment","FdivFmgt-calc-dimensionless"
"RMULLMEDGSA29","Red mullet Black Sea","multinational","Mediterranean-Black Sea","Black Sea","multinational-GFCM-GSA29","Black Sea","Mullus barbatus barbatus","Red mullet","Estimated from Fox or Schaefer model","MSY-est-MT","MT",3000.218729,2014,1.671875,"Assessment","FdivFmgt-calc-dimensionless"
"RMULLMEDGSA5","Red mullet Balearic Island","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA5","Balearic Island","Mullus barbatus barbatus","Red mullet","Estimated from Fox or Schaefer model","MSY-est-MT","MT",21.57757946,2012,7.64285714285714,"Assessment","FdivFmgt-calc-dimensionless"
"RMULLMEDGSA6","Red mullet Northern Spain","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA6","Northern Spain","Mullus barbatus barbatus","Red mullet","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1296.601364,2013,2.7719298245614,"Assessment","FdivFmgt-calc-dimensionless"
"RMULLMEDGSA9","Red mullet Ligurian and North Tyrrhenian Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA9","Ligurian and North Tyrrhenian Sea","Mullus barbatus barbatus","Red mullet","Estimated from Fox or Schaefer model","MSY-est-MT","MT",777.9749489,2013,1.16810336471486,"Assessment","FdivFmgt-calc-dimensionless"
"RPORGYSATLC","Red porgy Southern Atlantic coast","USA","US Southeast and Gulf","Southeast U.S. Continental Shelf","USA-NMFS-SATLC","Southern Atlantic coast","Pagrus pagrus","Red porgy","Assessment","MSY-MT","MT",378.2960366,2011,0.862871297867591,"Assessment","ERdivERmsy-calc-dimensionless"
"RROCKLOBSTERCRA1","Red rock lobster New Zealand Area CRA1","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-CRA1","New Zealand Area CRA1","Jasus edwardsii","Red rock lobster","Assessment","MSY-MT","MT",161.109,2013,0.388614519883869,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"RROCKLOBSTERCRA2","Red rock lobster New Zealand Area CRA2","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-CRA2","New Zealand Area CRA2","Jasus edwardsii","Red rock lobster","Assessment","MSY-MT","MT",265.7825,2012,0.698672080301967,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"RROCKLOBSTERCRA3","Red rock lobster New Zealand Area CRA3","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-CRA3","New Zealand Area CRA3","Jasus edwardsii","Red rock lobster","Assessment","MSY-MT","MT",212.492,2013,1.55175907049632,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"RROCKLOBSTERCRA4","Red rock lobster New Zealand Area CRA4","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-CRA4","New Zealand Area CRA4","Jasus edwardsii","Red rock lobster","Assessment","MSY-MT","MT",679.969,2010,0.358106969880191,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"RROCKLOBSTERCRA5","Red rock lobster New Zealand Area CRA5","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-CRA5","New Zealand Area CRA5","Jasus edwardsii","Red rock lobster","Assessment","MSY-MT","MT",560.0995,2014,1.0044994408705,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"RROCKLOBSTERCRA7","Red rock lobster New Zealand Area CRA7","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-CRA7","New Zealand Area CRA7","Jasus edwardsii","Red rock lobster","Assessment","MSY-MT","MT",193.628,2014,0.220940346248483,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"RROCKLOBSTERCRA8","Red rock lobster New Zealand Area CRA8","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-CRA8","New Zealand Area CRA8","Jasus edwardsii","Red rock lobster","Assessment","MSY-MT","MT",1082.505,2014,0.887839029958656,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"RROCKLOBSTERSAUSNZ","Rock lobster South Australia Northern Zone","Australia","Australia","South West Australian Shelf","Australia-SARDI-SAUSNZ","South Australia Northern Zone","Jasus edwardsii","Rock lobster","Estimated from Fox or Schaefer model","MSY-est-MT","MT",750.7441938,2009,0.825841111473517,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"RROCKLOBSTERSAUSSZ","Rock lobster South Australia Southern Zone","Australia","Australia","Southeast Australian Shelf","Australia-SARDI-SAUSSZ","South Australia Southern Zone","Jasus edwardsii","Rock lobster","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1698.691069,2009,1.55887955263382,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"RSFLOUNSOJ","Round nose flounder Sea of Japan","Japan","Japan",NA,"Japan-FAJ-SOJ","Sea of Japan","Eopsetta grigorjewi","Round nose flounder","Assessment","MSY-MT","MT",1568.679061,2013,1.05775387373544,"Assessment","ERdivERmsy-calc-dimensionless"
"RSHRMPMEDGSA1","Deep water rose shrimp Northern Alboran Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA1","Northern Alboran Sea","Parapenaeus longirostris","Deep water rose shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",175.3709199,2015,0.896551724137931,"Assessment","FdivFmgt-calc-dimensionless"
"RSHRMPMEDGSA17-19","Deep water rose shrimp Geographical Sub-Areas 17-19","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA17-19","Geographical Sub-Areas 17-19","Parapenaeus longirostris","Deep water rose shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",3164.700379,2014,2.21739130434783,"Assessment","FdivFmgt-calc-dimensionless"
"RSHRMPMEDGSA9-11","Deep water rose shrimp Geographical Sub-Areas 9-11","multinational","Mediterranean-Black Sea",NA,"multinational-GFCM-GSA9-11","Geographical Sub-Areas 9-11","Parapenaeus longirostris","Deep water rose shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1549.399761,2015,0.951648351648352,"Assessment","FdivFmgt-calc-dimensionless"
"RSNAPGM","Red snapper Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","USA-NMFS-GM","Gulf of Mexico","Lutjanus campechanus","Red snapper","Assessment","MSY-MT","MT",5855.877884,2013,0.991836734693877,"Assessment","ERdivERmsy-calc-dimensionless"
"RSNAPSATLC","Red snapper Southern Atlantic coast","USA","US Southeast and Gulf","Southeast U.S. Continental Shelf","USA-NMFS-SATLC","Southern Atlantic coast","Lutjanus campechanus","Red snapper","Assessment","MSY-MT","MT",195.044732,2014,3.68493150684932,"Assessment","FdivFmsy-calc-dimensionless"
"RSOLE5AB","Rock sole Queen Charlotte Sound","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-5AB","Queen Charlotte Sound","Lepidopsetta bilineata","Rock sole","Assessment","MSY-MT","MT",524,2013,0.460251046025105,"Assessment","ERdivERmsy-calc-dimensionless"
"RSOLEHSTR","Rock sole Hecate Strait","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-HS","Hecate Strait","Lepidopsetta bilineata","Rock sole","Assessment","MSY-MT","MT",1895,2013,0.0769230769230769,"Assessment","ERdivERmsy-calc-dimensionless"
"RSQLOBSTERCSCH","Red squat lobster Central-Southern Chile","Chile","South America",NA,"Chile-SUBPESCA-CH-CS","Central-Southern Chile","Pleuroncodes monodon","Red squat lobster","Estimated from Fox or Schaefer model","MSY-est-MT","MT",952.560767,2015,0.972222222222222,"Assessment","FdivFmsy-calc-dimensionless"
"RSQLOBSTERNCH","Red squat lobster Northern Chile","Chile","South America",NA,"Chile-SUBPESCA-CH-N","Northern Chile","Pleuroncodes monodon","Red squat lobster","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1437.09838,2015,0.388888888888889,"Assessment","FdivFmsy-calc-dimensionless"
"SAABALONESA","South African abalone South Africa","South Africa","South Africa","Agulhas Current","South Africa-DETMCM-SA","South Africa","Haliotis midae","South african abalone","Estimated from Fox or Schaefer model","MSY-est-MT","MT",790.6879416,2015,2.69575148891409,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SABLEFEBSAIGA","Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","USA","US Alaska","Gulf of Alaska","USA-NMFS-EBSAIGA","Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","Anoplopoma fimbria","Sablefish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",7407.27069,2010,0.261141401218073,"Assessment","ERdivERmsy-calc-dimensionless"
"SABLEFPCAN","Sablefish Pacific Coast of Canada","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-PCOAST","Pacific Coast of Canada","Anoplopoma fimbria","Sablefish","Assessment","MSY-MT","MT",3230,2010,1.14545454545455,"Assessment","ERdivERmsy-calc-dimensionless"
"SABLEFPCOAST","Sablefish Pacific Coast","USA","US West Coast","California Current","USA-NMFS-PCOAST","Pacific Coast","Anoplopoma fimbria","Sablefish","Assessment","MSY-MT","MT",7476,2014,0.82,"Assessment","FdivFmsy-calc-dimensionless"
"SAILEATL","Sailfish Eastern Atlantic","multinational","Atlantic Ocean","North Atlantic Ocean","multinational-ICCAT-EATL","Eastern Atlantic","Istiophorus albicans","Sailfish","Assessment","MSY-MT","MT",851,2007,7.43083367772023,"Assessment","ERdivERmsy-calc-dimensionless"
"SAILWATL","Sailfish Western Atlantic","multinational","Atlantic Ocean","North Atlantic Ocean","multinational-ICCAT-WATL","Western Atlantic","Istiophorus albicans","Sailfish","Assessment","MSY-MT","MT",850,2007,2.26571879332166,"Assessment","ERdivERmsy-calc-dimensionless"
"SARDINWA","Sardinella West Africa","multinational","West Africa","Canary Current","multinational-FAO-WA","West Africa","Sardinella spp","Sardinella","Estimated from Fox or Schaefer model","MSY-est-MT","MT",362882.2584,2010,2.70481235060753,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SARDMEDGSA16","Sardine South of Sicily","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA16","South of Sicily","Sardina pilchardus","Sardine","Assessment","MSY-MT","MT",5307,2011,1.06958364276557,"Assessment","ERdivERmsy-calc-dimensionless"
"SARDMEDGSA17-18","Sardine Adriatic Sea (GSA 17,18)","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA17-18","Adriatic Sea (GSA 17,18)","Sardina pilchardus","Sardine","Estimated from Fox or Schaefer model","MSY-est-MT","MT",39779.28466,2015,4.875,"Assessment","FdivFmsy-calc-dimensionless"
